series,date,division,index
growth_yoy,2018-06-01,06,-5.603
growth_yoy,2018-07-01,06,-5.771
growth_yoy,2018-08-01,06,-6.15
growth_yoy,2018-09-01,06,-4.792
growth_yoy,2018-10-01,06,1.544
growth_yoy,2018-11-01,06,-2.853
growth_yoy,2018-12-01,06,1.025
growth_yoy,2019-01-01,06,1.619
growth_yoy,2019-02-01,06,-2.15
growth_yoy,2019-03-01,06,0.652
growth_yoy,2019-04-01,06,-0.146
growth_yoy,2019-05-01,06,3.577
growth_yoy,2019-06-01,06,1.428
growth_yoy,2019-07-01,06,-7.919
growth_yoy,2019-08-01,06,-1.357
growth_yoy,2019-09-01,06,-1.946
growth_yoy,2019-10-01,06,-6.221
growth_yoy,2019-11-01,06,1.7
growth_yoy,2019-12-01,06,-4.865
growth_yoy,2020-01-01,06,-3.6
growth_yoy,2020-02-01,06,5.376
growth_yoy,2020-03-01,06,-7.196
growth_yoy,2020-04-01,06,-18.057
growth_yoy,2020-05-01,06,-21.47
growth_yoy,2020-06-01,06,-14.49
growth_yoy,2020-07-01,06,-0.014
growth_yoy,2020-08-01,06,-7.89
growth_yoy,2020-09-01,06,-7.351
growth_yoy,2020-10-01,06,-9.056
growth_yoy,2020-11-01,06,-15.469
growth_yoy,2020-12-01,06,-5.392
growth_yoy,2021-01-01,06,-4.286
growth_yoy,2021-02-01,06,-5.24
growth_yoy,2021-03-01,06,-0.391
growth_yoy,2021-04-01,06,13.422
growth_yoy,2021-05-01,06,22.074
growth_yoy,2021-06-01,06,9.232
growth_yoy,2021-07-01,06,-1.091
growth_yoy,2021-08-01,06,-2.234
growth_yoy,2021-09-01,06,-5.624
growth_yoy,2021-10-01,06,-3.342
growth_yoy,2021-11-01,06,2.659
growth_yoy,2021-12-01,06,-2.466
growth_yoy,2022-01-01,06,-3.345
growth_yoy,2022-02-01,06,-0.688
growth_yoy,2022-03-01,06,-0.399
growth_yoy,2022-04-01,06,-1.479
growth_yoy,2022-05-01,06,-7.199
growth_yoy,2022-06-01,06,1.931
growth_yoy,2022-07-01,06,5.844
growth_yoy,2022-08-01,06,7.754
growth_yoy,2022-09-01,06,16.447
growth_yoy,2022-10-01,06,9.282
growth_yoy,2022-11-01,06,7.658
growth_yoy,2022-12-01,06,3.394
growth_yoy,2023-01-01,06,3.051
growth_yoy,2023-02-01,06,-0.792
growth_yoy,2023-03-01,06,0.761
growth_yoy,2023-04-01,06,-3.767
growth_yoy,2023-05-01,06,2.756
growth_yoy,2023-06-01,06,-6.982
growth_yoy,2023-07-01,06,2.777
growth_yoy,2023-08-01,06,-1.495
growth_yoy,2023-09-01,06,-5.817
growth_yoy,2023-10-01,06,5.74
growth_yoy,2023-11-01,06,1.242
growth_yoy,2023-12-01,06,4.099
growth_yoy,2024-01-01,06,5.004
growth_yoy,2024-02-01,06,8.059
growth_yoy,2024-03-01,06,4.901
growth_yoy,2024-04-01,06,10.043
growth_yoy,2024-05-01,06,-6.902
growth_yoy,2024-06-01,06,4.864
growth_yoy,2024-07-01,06,-4.978
growth_yoy,2024-08-01,06,-6.447
growth_yoy,2024-09-01,06,-2.225
growth_yoy,2024-10-01,06,-2.79
growth_yoy,2024-11-01,06,-0.763
growth_yoy,2024-12-01,06,0.39
growth_yoy,2025-01-01,06,-3.105
growth_yoy,2025-02-01,06,-8.884
growth_yoy,2025-03-01,06,1.923
growth_yoy,2025-04-01,06,-6.276
growth_yoy,2025-05-01,06,-10.232
growth_yoy,2025-06-01,06,-0.006
growth_yoy,2025-07-01,06,4.34
growth_yoy,2025-08-01,06,16.754
growth_yoy,2025-09-01,06,10.245
growth_yoy,2025-10-01,06,5.84
growth_yoy,2025-11-01,06,2.277
growth_yoy,2025-12-01,06,-2.497
growth_yoy,2026-01-01,06,0.063
growth_yoy,2026-02-01,06,-1.965
growth_yoy,2026-03-01,06,-6.545
